,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,rp_contamination,rp_violations,sliding_rp_violation,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,amplitude_cv_median,amplitude_cv_range,amplitude_cutoff,noise_cutoff,noise_ratio,amplitude_median,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,nn_hit_rate,nn_miss_rate,silhouette
1,3788,2.1044444444444443,1.0,2.9299461303113272,0.5854089332288146,14,1.0,14,,0.020327349524815207,0.0,0.0,4.0,0.4756622016429901,0.17496180534362793,0.001318217769575534,0.09831670965046661,0.12157534246575342,-31.125057220458984,2.105839233771711,0.5038532872028048,0.2585543088732578,1.4130123517660165,45.24330719205099,0.328949298094769,2.5760045051574707,0.6104,0.11306666666666666,0.07870703454090579
4,24899,13.832777777777778,1.0,5.7422850015097815,1.1555580484754375,1194,1.0,934,,0.012008514398168602,0.0,0.0,17.61,0.27153632044792175,0.17790944874286652,0.0,-0.43898485619241456,0.01146809930123951,-73.09105682373047,0.8047673245984086,0.1993523812206783,0.06891090725368976,1.5312950606110762,45.64143934965307,0.12704533733246426,3.306276798248291,0.83,0.06026666666666667,0.1830399009607241
5,2208,1.2266666666666666,1.0,2.431559640861343,0.8614918084436042,7,1.0,4,,0.021739130434782608,0.0,0.0,2.8,0.4364774227142334,0.283562570810318,0.0,0.11708201828205324,0.01724941724941725,-28.04388999938965,,,,1.388540160003212,49.54296758926197,0.31887512552976366,4.499119281768799,0.6736,0.03253333333333333,0.08857237226250024
8,310,0.17222222222222222,1.0,2.720079501862691,0.0,0,0.0,0,,0.09032258064516129,0.0,0.0,0.6,,,,0.27197892793428613,0.058823529411764705,-30.50240707397461,,,,1.359306835402764,50.60040670963532,0.5071459358105452,2.5943703651428223,0.6258064516129033,0.037440305635148045,0.08310740553804923
10,219,0.12166666666666667,1.0,2.721411293270017,0.0,0,0.0,0,,0.0639269406392694,0.0,0.0,0.4,,,,0.5467806435536543,0.08,-30.517452239990234,,,,1.5953795576325234,54.594823162288804,0.37896474545177244,2.8949437141418457,0.5853881278538813,0.03216168717047452,0.13164645042924822
14,1485,0.825,1.0,4.041701114032909,4.897459442913989,18,1.0,13,,0.012121212121212121,0.0,0.0,4.0,0.32010093331336975,0.21746201813220978,0.0,-0.2925652742679381,0.0715846994535519,-42.20468521118164,,,,1.2628105304643118,79.23841560223931,0.06160294451296076,5.49979305267334,0.8852,0.007663964627855564,0.19494790898499054
15,1431,0.795,1.0,1.8139074900742271,0.5860058864291292,2,0.6521621493334772,1,,0.12718378756114604,0.0006988120195667365,0.0,2.0,1.0867903232574463,0.7171674370765686,0.0,0.33087448125694896,0.08241758241758242,-19.794118881225586,,,,2.1443829291987333,17.091312112839717,8.165679383859297,1.5957814455032349,0.24,0.013818017611198916,0.023820130402226258
17,1711,0.9505555555555556,1.0,2.018414551987424,1.4346609298447388,7,1.0,2,,0.10520163646990065,0.0,0.0,2.2,1.0177671909332275,0.45983678102493286,0.0,0.22554943905809896,0.09595959595959597,-20.19618797302246,,,,2.3426645127443577,16.02337492143925,7.254084486358,1.337078332901001,0.262,0.019597862051412573,0.0726460367305005
18,1761,0.9783333333333334,1.0,3.094284374445056,1.3543489596181508,7,1.0,6,,0.055650198750709826,0.0005678591709256105,0.0,2.2100000000000026,0.4380567967891693,0.17709249258041382,0.0,0.2345389995525824,0.04504887377815554,-33.615325927734375,,,,1.5265740340348977,90.0064099097825,0.030061097118986697,6.672963619232178,0.9356,0.0116,0.2172185170375042
19,2088,1.16,1.0,2.9715557699030843,1.9267186330206545,14,1.0,10,,0.1518199233716475,0.0,0.0,2.4,0.9510883092880249,0.6616957783699036,0.0,0.7464418865333999,0.12955465587044535,-30.161678314208984,,,,2.601433292003923,17.051051926845076,7.432013367357688,1.5170260667800903,0.1676,0.024790619765494137,0.04548154839330219
20,1381,0.7672222222222222,1.0,2.4288611581377437,2.516829989707214,8,1.0,6,,0.05503258508327299,0.000724112961622013,0.0,2.0,1.6307309865951538,0.7417097091674805,0.0,-0.0009197460660588271,0.06931886678722123,-13.464903831481934,,,,2.3554328049200257,30.52477640949776,2.1352522201310786,3.4046387672424316,0.8044,0.00399617133285475,0.1818036113317911
23,7504,4.168888888888889,1.0,5.615467402754031,2.1736807888671175,204,1.0,150,,0.07409381663113006,0.0,0.0,7.2,0.318009614944458,0.19645118713378906,0.0,-0.1873542208539233,0.07728365384615385,-58.790687561035156,1.555518358698123,0.3935821592240401,0.26490796425406415,1.6984339731962321,34.9527124257028,1.0861502789253574,3.360452651977539,0.754,0.0055985705777248365,0.1100719749053726
25,17945,9.969444444444445,1.0,6.1324850005109335,1.57814802217947,847,1.0,560,,0.03700195040401226,5.572582892170521e-05,0.0,15.620000000000003,0.33845484256744385,0.2905367612838745,0.0,-0.13359297618841423,0.04112694300518135,-59.93061447143555,1.3203699665168642,0.2910579157206554,0.17345108375727136,2.0116660539687623,30.540828653597373,1.9671096922976825,2.6938250064849854,0.6196,0.019725120895902264,0.10467138087237257
26,1098,0.61,1.0,12.305799861467495,0.4976758537629271,1,1.0,1,,0.10109289617486339,0.0009107468123861566,0.0,1.8100000000000023,0.17254315316677094,0.10709106922149658,0.0,0.17245683610230167,0.06944444444444445,-136.28775024414062,,,,1.7675083599621642,48.01966113749929,0.3250852871521319,4.176077365875244,0.7632,0.009045226130653266,0.2016181820354134
28,7159,3.977222222222222,1.0,7.553902925376623,0.45657395373200527,39,1.0,29,,0.1125855566419891,0.0,0.0,5.21,0.2005896419286728,0.25426220893859863,0.0,-0.14877339538236833,0.020808561236623068,-84.03349304199219,1.6123709105078206,0.336523456716857,0.19074191442075517,1.3861080679254567,31.200731270322628,1.8046248168957897,1.766539454460144,0.5256,0.029026082794927015,0.1103018117866067
29,4281,2.3783333333333334,1.0,15.231883539616685,0.9821595626247036,30,1.0,20,,0.0378416257883672,0.0,0.0,5.210000000000003,0.23295383155345917,0.14248058199882507,0.0,-0.3961526614002303,0.042532740598341945,-166.80711364746094,5.5131789149638735,1.1435849217769798,0.515061807985262,2.4576998688902227,32.20383156815331,1.6726058284344252,3.7630841732025146,0.714,0.012802105766929887,0.14739607611714006
30,11684,6.4911111111111115,1.0,5.644221957602464,0.9493402729716612,216,1.0,137,,0.06487504279356385,0.0,0.0,10.820000000000006,0.35145658254623413,0.2308729588985443,0.0,0.3058645025144011,0.04954212454212454,-59.2445068359375,1.3937756512004853,0.32413831803099935,0.2520266121677537,1.8826115964259975,25.911373157180552,3.350664171856511,2.2407901287078857,0.4504,0.014653420636712575,0.10284235654476581
31,21832,12.12888888888889,1.0,6.785113538652284,0.49597573179834525,394,0.5841224060880561,219,,0.025833638695492853,0.0,0.0,19.8,0.26688194274902344,0.20085430145263672,0.0,-0.062171178586403024,0.029186387198557585,-73.42120361328125,2.123506416499822,0.5209702331455492,0.38423434513271104,1.4689221323898574,33.35595011684893,1.468569079671883,1.6173417568206787,0.5132,0.035032304379038044,0.09166141741960289
34,8295,4.608333333333333,1.0,4.527413328736083,0.4970422714831806,57,0.5652169576721476,31,,0.07209162145871006,0.0,0.0,8.220000000000006,0.4530561864376068,0.33850887417793274,0.0,0.10517271312629334,0.04962827703143342,-42.27792739868164,1.2492037134330758,0.2993420582137158,0.1452147337649876,1.4866469446807233,36.87154555829583,0.997688234964786,2.746427059173584,0.584,0.02814070351758794,0.09765492646850049
